comp_row_id,comp_name,enemy_comp_row_id,enemy_comp_name,matchup_score,matchup_tier,matchup_label,reason_1,reason_2,reason_3,reason_4,suggested_counter_items,suggested_augment_themes,positioning_advice,display_comp_name,display_enemy_name,early_label,mid_label,late_label,overall_label,confidence_level,source_type,relationship_type,reason_text,curated_score,canonical_comp_name,canonical_enemy_name
21,以绪塔尔 巴德 && 妮蔻,6,以绪塔尔 奈德丽 && 斯卡纳,-1.5,lose,小劣,全局表现锚点偏向对手,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,以绪塔尔岩宝,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手,-1.5,以绪塔尔 巴德 && 妮蔻,以绪塔尔岩宝
21,以绪塔尔 巴德 && 妮蔻,11,德玛西亚 卡莎 && 盖伦,-1.5,lose,小劣,全局表现锚点偏向对手,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,德玛西亚 卡莎 && 盖伦,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手,-1.5,以绪塔尔 巴德 && 妮蔻,德玛西亚 卡莎 && 盖伦
21,以绪塔尔 巴德 && 妮蔻,12,约德尔人 维迦 && 凯南,-1.5,lose,小劣,全局表现锚点偏向对手,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,约德尔人维迦,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手,-1.5,以绪塔尔 巴德 && 妮蔻,约德尔人维迦
21,以绪塔尔 巴德 && 妮蔻,15,德玛西亚 瑞兹 && 塔里克,-1.5,lose,小劣,全局表现锚点偏向对手,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,德玛西亚 瑞兹 && 塔里克,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手,-1.5,以绪塔尔 巴德 && 妮蔻,德玛西亚 瑞兹 && 塔里克
21,以绪塔尔 巴德 && 妮蔻,25,诺克萨斯 卑尔维斯 && 斯维因,-1.8,lose,小劣,全局表现锚点偏向对手,对手发力更早，你需要先稳血再等上限,本阵容后期上限更高,,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入,以绪塔尔 巴德 && 妮蔻,诺克萨斯 卑尔维斯 && 斯维因,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手发力更早，你需要先稳血再等上限；本阵容后期上限更高,-1.8,以绪塔尔 巴德 && 妮蔻,诺克萨斯 卑尔维斯 && 斯维因
21,以绪塔尔 巴德 && 妮蔻,1,德玛西亚 薇恩 && 德莱厄斯,-2.1,lose,小劣,全局表现锚点偏向对手,对手回复/续航较强，你的法系爆发未必能一波带走,,,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,护卫薇恩,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手回复/续航较强，你的法系爆发未必能一波带走,-2.1,以绪塔尔 巴德 && 妮蔻,护卫薇恩
21,以绪塔尔 巴德 && 妮蔻,2,比尔吉沃特 厄运小姐 && 诺提勒斯,-2.1,lose,小劣,全局表现锚点偏向对手,对手回复/续航较强，你的法系爆发未必能一波带走,,,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,比尔沃特厄运小姐,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手回复/续航较强，你的法系爆发未必能一波带走,-2.1,以绪塔尔 巴德 && 妮蔻,比尔沃特厄运小姐
21,以绪塔尔 巴德 && 妮蔻,4,法师 安妮 && 斯维因,-2.1,lose,小劣,全局表现锚点偏向对手,对手回复/续航较强，你的法系爆发未必能一波带走,,,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,法师安妮,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手回复/续航较强，你的法系爆发未必能一波带走,-2.1,以绪塔尔 巴德 && 妮蔻,法师安妮
21,以绪塔尔 巴德 && 妮蔻,5,诺克萨斯 千珏 && 德莱文,-2.1,lose,小劣,全局表现锚点偏向对手,对手回复/续航较强，你的法系爆发未必能一波带走,,,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入,以绪塔尔 巴德 && 妮蔻,诺克千珏,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手回复/续航较强，你的法系爆发未必能一波带走,-2.1,以绪塔尔 巴德 && 妮蔻,诺克千珏
21,以绪塔尔 巴德 && 妮蔻,17,皮尔特沃夫 海克斯霸龙 && 蔚,-2.1,lose,小劣,全局表现锚点偏向对手,对手回复/续航较强，你的法系爆发未必能一波带走,,,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血,以绪塔尔 巴德 && 妮蔻,枪手海克斯霸龙,小劣,小劣,小劣,小劣,low,auto_filled,auto_inferred,全局表现锚点偏向对手；对手回复/续航较强，你的法系爆发未必能一波带走,-2.1,以绪塔尔 巴德 && 妮蔻,枪手海克斯霸龙
