comp_row_id,comp_name,enemy_comp_row_id,enemy_comp_name,matchup_score,matchup_tier,matchup_label,reason_1,reason_2,reason_3,reason_4,suggested_counter_items,suggested_augment_themes,positioning_advice
1,德玛西亚 薇恩 && 德莱厄斯,2,比尔吉沃特 厄运小姐 && 诺提勒斯,-0.14,even,五五开,本阵容带减疗，能压制对手回复/续航,对手带减疗，会明显压缩你的续航价值,,,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,3,巨神峰 玛尔扎哈 && 蕾欧娜,-1.4,lose,小劣,对手发力更早，你需要先稳血再等上限,对手范围伤害会放大你的缩角风险,本阵容后期上限更高,,,优先选择泛用战力强化（可参考：珠光莲花 I、珠光莲花 II）,根据对手主C位置灵活换边
1,德玛西亚 薇恩 && 德莱厄斯,4,法师 安妮 && 斯维因,-1.32,lose,小劣,全局表现锚点偏向对手,本阵容带减疗，能压制对手回复/续航,对手带减疗，会明显压缩你的续航价值,,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,5,诺克萨斯 千珏 && 德莱文,0.82,even,五五开,对手前排很厚，你的物理前后排推进会更吃力,本阵容自带破前排工具，打厚前排更舒服,本阵容带减疗，能压制对手回复/续航,,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
1,德玛西亚 薇恩 && 德莱厄斯,6,以绪塔尔 奈德丽 && 斯卡纳,0.13,even,五五开,全局表现锚点偏向本阵容,对手带减疗，会明显压缩你的续航价值,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,7,裁决战士 阿狸 && 永恩,-0.6,even,五五开,对手发力更早，你需要先稳血再等上限,本阵容带减疗，能压制对手回复/续航,对手带减疗，会明显压缩你的续航价值,本阵容后期上限更高,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
1,德玛西亚 薇恩 && 德莱厄斯,8,弗雷尔卓德 金克丝 && 瑟庄妮,0.05,even,五五开,对手发力更早，你需要先稳血再等上限,本阵容带减疗，能压制对手回复/续航,对手带减疗，会明显压缩你的续航价值,本阵容后期上限更高,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
1,德玛西亚 薇恩 && 德莱厄斯,9,约德尔人 吉格斯 && 凯南,-1.76,lose,小劣,对手范围伤害会放大你的缩角风险,对手带减疗，会明显压缩你的续航价值,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,10,德玛西亚 卡莎 && 盖伦,-1.97,lose,小劣,全局表现锚点偏向对手,对手前排很厚，你的物理前后排推进会更吃力,本阵容自带破前排工具，打厚前排更舒服,对手带减疗，会明显压缩你的续航价值,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,11,德玛西亚 卡莎 && 盖伦,-0.57,even,五五开,对手带减疗，会明显压缩你的续航价值,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,12,约德尔人 维迦 && 凯南,-0.52,even,五五开,对手带减疗，会明显压缩你的续航价值,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,13,弗雷尔卓德 丽桑卓 && 布隆,-1.3,lose,小劣,对手范围伤害会放大你的缩角风险,对手前排很厚，你的物理前后排推进会更吃力,本阵容自带破前排工具，打厚前排更舒服,对手带减疗，会明显压缩你的续航价值,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,14,斗士 巴德 && 赛恩,0.2,even,五五开,对手发力更早，你需要先稳血再等上限,本阵容带减疗，能压制对手回复/续航,对手带减疗，会明显压缩你的续航价值,本阵容后期上限更高,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
1,德玛西亚 薇恩 && 德莱厄斯,15,德玛西亚 瑞兹 && 塔里克,-0.91,even,五五开,对手带减疗，会明显压缩你的续航价值,,,,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
